StudyPoleTag,DevTag,CurveRef,iPickup,ctRatio,TimeDial,iPickupInst,Delay,MinimumResponse,Adder,LowCurrentCutoff,HighCurrentCutoff,ShowPlot,PlotLabel
1000,1000-20KS,10KS,1,1,1,0,0,0,0,0,10000,1,10KS clear
1000,1000-25KS,20KS-melt,1,1,1,0,0,0,0,0,10000,1,20KS min melt
