StudyPoleTag,PoleTag,PoleNumber,Assembly,AssemblyHeight,ConductorType,ConductorName,NormAngle,Span,Tension,TAmb,TRise,GMR,DCOhmsCalc,ACOhmsCalc,GMRCalc,OhmsCalc,CurrentCalc,LineType,AB,BC,CA,AN,BN,CN,Z0real,Z0imag,Z1real,Z1imag
01290,01290,0,B6.21,0.0,CopperweldCopper,4-A,-0.83841845007984,0.02481060606060606,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,0.048814480306496336,0.043921274957166356,0.035127860042522066,0.03828320716506699
01290,01290,1,B6.21,0.0,CopperweldCopper,4-A,-0.83841845007984,0.02481060606060606,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
01290,01290,2,B6.21,0.0,CopperweldCopper,8-D,-0.83841845007984,0.02481060606060606,1067.0,25,50,0.00356,0.723,0.731,0.00356,3.85968,90.25172546315346,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
01290,24290,0,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,4.009686195075918,0.4179941924649069,3.9050078819427414,0.3300716248899258
01290,24290,1,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
01290,24290,2,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
01290,01294,0,B6.21,0.0,CopperweldCopper,4-A,2.4894988873025,0.02481060606060606,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,0.048814480306496336,0.043921274957166356,0.035127860042522066,0.03828320716506699
01290,01294,1,B6.21,0.0,CopperweldCopper,4-A,2.4894988873025,0.02481060606060606,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
01290,01294,2,B6.21,0.0,CopperweldCopper,8-D,2.4894988873025,0.02481060606060606,1067.0,25,50,0.00356,0.723,0.731,0.00356,3.85968,90.25172546315346,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
24290,24290,0,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,4.009686195075918,0.4179941924649069,3.9050078819427414,0.3300716248899258
24290,24290,1,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
24290,24290,2,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
24290,25520,0,A5.01,0.0,Triplex,Shrimp,-1.4551694214701,0.014583333333333334,990.0,25,50,0.0095,0.26,0.31,0.0095,1.6368,178.62961180531917,1.0,,,,5.002777006601211,,,0.028839191656773847,0.01757770276905141,0.028839191656773847,0.01757770276905141
24290,01427,0,B6.21,0.0,CopperweldCopper,4-A,-2.0785457068363,0.06439393939393939,1744.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,0.12669407102449431,0.11399414874379056,0.09117154514853054,0.0993609956955937
24290,01427,1,B6.21,0.0,CopperweldCopper,4-A,-2.0785457068363,0.06439393939393939,1744.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
24290,01427,2,B6.21,0.0,CopperweldCopper,8-D,-2.0785457068363,0.06439393939393939,1396.0,25,50,0.00356,0.723,0.731,0.00356,3.85968,90.25172546315346,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
24290,01290,0,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,4.009686195075918,0.4179941924649069,3.9050078819427414,0.3300716248899258
24290,01290,1,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,0.2134469696969697,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,7.615773105863909,,,4.6097722286464435,4.6097722286464435,,,,,
