Name,Type,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,Phase3Radius,Phase3X,Phase3Hin,Phase3Hout,Phase4Radius,Phase4X,Phase4Hin,Phase4Hout,Phase5Radius,Phase5X,Phase5Hin,Phase5Hout,Phase6Radius,Phase6X,Phase6Hin,Phase6Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,Neutral2Radius,Neutral2X,Neutral2Hin,Neutral2Hout,Neutral3Radius,Neutral3X,Neutral3Hin,Neutral3Hout,Pole1Loc,Pole2Loc,Pole3Loc,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4,GuyH5,GuyH6,GuyP1,GuyP2,GuyP3,GuyP4,GuyP5,GuyP6
TH-4,3,0,-168.25,-20,-20,0,-24.25,-20,-20,0,119.75,-20,-20,,,,,,,,,,,,,,,,,,,,,,,,,-144,0,144,1,0,-6,-6,-6,,,,1,2,3,,,
TH-4G,3,0,-168.25,-134,-134,0,-24.25,-134,-134,0,119.75,-134,-134,,,,,,,,,,,,,1,-3,-11,-11,,,,,1,-3,-11,-11,-144,0,144,1,0,-120,-120,-120,-18,,,1,2,3,3,,
TH-5,3,0,-144,-36,-48,0,0,-36,-48,0,144,-36,-48,,,,,,,,,,,,,,,,,,,,,,,,,-144,0,144,1,0,-36,-36,-36,-42,-42,-42,1,2,3,1,2,3
TH-5G,3,0,-144,-36,-48,0,0,-36,-48,0,144,-36,-48,,,,,,,,,,,,,1,-3,-11,-11,,,,,1,-3,-11,-11,-144,0,144,1,0,-36,-36,-36,-42,-42,-42,1,2,3,1,2,3
TH-5D,3,0,-144,-36,-48,0,0,-36,-48,0,144,-36,-48,,,,,,,,,,,,,,,,,,,,,,,,,-144,0,144,1,0,-36,-36,-36,-42,-42,-42,1,2,3,1,2,3
TH-5GD,3,0,-144,-36,-48,0,0,-36,-48,0,144,-36,-48,,,,,,,,,,,,,1,-3,-11,-11,,,,,1,-3,-11,-11,-144,0,144,1,0,-36,-36,-36,-42,-42,-42,1,2,3,1,2,3
TH-7,2,0,-123,-12,-12,0,0,-12,-12,0,123,-12,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH-7G,2,0,-123,-12,-12,0,0,-12,-12,0,123,-12,-12,,,,,,,,,,,,,0,0,-9,-5,0,0,-9,5,,,,,-84,84,,,,,,,,,,,,,,,
TH-9,2,0,-126,-40,-40,0,0,-40,-40,0,126,-40,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH-9G,2,0,-126,-40,-40,0,0,-40,-40,0,126,-40,-40,,,,,,,,,,,,,1,-3,-11,-11,1,3,-11,-11,,,,,-63,63,,,,,,,,,,,,,,,
