name,size,strands,diameter,weight,strength
DT-60,10M,6,0.96,357,11500
DT-72,10M,12,0.96,357,11500
DT-92,10M,24,0.96,357,11500
DT-120,10M,36,0.96,357,11500
DT-144,10M,48,0.96,357,11500
DT-216,10M,72,0.99,373,11500
DT-240,10M,96,1.06,398,11500
DT-288,10M,144,1.19,455,11500
