name,size,strands,diameter,weight,strength
12006xd0y,10M,6,0.96,357,11500
12012xD0y,10M,12,0.96,357,11500
12024xD0y,10M,24,0.96,357,11500
12036xD0y,10M,36,0.96,357,11500
12048xD0y,10M,48,0.96,357,11500
12072xD0y,10M,72,0.99,373,11500
12096xD0y,10M,96,1.06,398,11500
12144xD0y,10M,144,1.19,455,11500
12192xD0y,10M,192,1.19,450,11500
12216xD0y,10M,216,1.19,450,11500
12288xD0y,10M,288,1.3,501,11500
12432xD0y,10M,432,1.41,546.7,11500
