name,size,strands,diameter,weight,strength
2003-6x19,6M,6x19,0.865,273,6000
2003-12x19,6M,12x19,0.995,339,6000
2003-25x19,6M,25x19,1.165,481,6000
2003-6x22,6M,6x22,0.775,236,6000
2003-12x22,6M,12x22,0.865,273,6000
2003-25x22,6M,25x22,1.005,345,6000
2003-50x22,6M,50x22,1.275,479,6000
2003-6x24,6M,6x24,0.745,222,6000
2003-12x24,6M,12x24,0.805,245,6000
2003-25x24,6M,25x24,0.915,293,6000
2003-50x24,6M,50x24,1.045,380,6000
2003-100x24,6M,100x24,1.255,556,6000
2003-200x24,6M,200x24,1.555,891,6000
2003-300x24,6M,300x24,1.775,1231,6000
2003-400x24,6M,400x24,1.975,1546,6000
2101-50x19,6M,50x19,1.475,753,6000
2101-100x19,6M,100x19,1.875,1251,6000
2101-200x19,6M,200x19,2.275,2258,6000
2101-300x19,6M,300x19,2.775,3270,6000
2101-25x22,6M,25x22,0.985,340,6000
2101-50x22,6M,50x22,1.165,476,6000
2101-100x22,6M,100x22,1.475,748,6000
2101-200x22,6M,200x22,1.875,1257,6000
2101-300x22,6M,300x22,2.075,1755,6000
2101-400x22,6M,400x22,2.275,2272,6000
2101-600x22,6M,600x22,2.675,3311,6000
2101-900x22,6M,900x22,3.175,4819,6000
2101-25x24,6M,25x24,0.925,295,6000
2101-50x24,6M,50x24,1.025,379,6000
2101-100x24,6M,100x24,1.235,549,6000
2101-200x24,6M,200x24,1.475,887,6000
2101-300x24,6M,300x24,1.775,1205,6000
2101-400x24,6M,400x24,1.875,1521,6000
2101-600x24,6M,600x24,2.155,2208,6000
2101-900x24,6M,900x24,2.575,3153,6000
2101-1200x24,6M,1200x24,2.875,4133,6000
2101-1500x24,6M,1500x24,3.145,5065,6000
2101-1800x24,6M,1800x24,3.475,6060,6000
2101-400x26,6M,400x26,1.675,1057,6000
2101-600x26,6M,600x26,1.875,1488,6000
2101-900x26,6M,900x26,2.175,2105,6000
2101-1200x26,6M,1200x26,2.425,2711,6000
2101-1500x26,6M,1500x26,2.675,3326,6000
2101-1800x26,6M,1800x26,2.875,3927,6000
2101-2100x26,6M,2100x26,3.075,4553,6000
2107-25x19,6M,25x19,1.355,611,6000
2107-50x19,6M,50x19,1.585,921,6000
2107-100x19,6M,100x19,1.995,1536,6000
2107-200x19,6M,200x19,2.475,2646,6000
2107-300x19,6M,300x19,2.965,3701,6000
2107-25x22,6M,25x22,1.135,451,6000
2107-50x22,6M,50x22,1.335,616,6000
2107-100x22,6M,100x22,1.575,921,6000
2107-200x22,6M,200x22,1.975,1531,6000
2107-300x22,6M,300x22,2.175,2064,6000
2107-400x22,6M,400x22,2.475,2661,6000
2107-600x22,6M,600x22,2.875,3753,6000
2107-900x22,6M,900x22,3.375,5436,6000
2107-25x24,6M,25x24,1.055,391,6000
2107-50x24,6M,50x24,1.185,496,6000
2107-100x24,6M,100x24,1.375,701,6000
2107-200x24,6M,200x24,1.675,1071,6000
2107-300x24,6M,300x24,1.875,1441,6000
2107-400x24,6M,400x24,2.055,1806,6000
2107-600x24,6M,600x24,2.375,2510,6000
2107-900x24,6M,900x24,2.775,3595,6000
2107-1200x24,6M,1200x24,3.075,4589,6000
2107-1500x24,6M,1500x24,3.395,5593,6000
2107-1800x24,6M,1800x24,3.675,6751,6000
2107-400x26,6M,400x26,1.775,1281,6000
2107-600x26,6M,600x26,2.075,1725,6000
2107-900x26,6M,900x26,2.425,2408,6000
2107-1200x26,6M,1200x26,2.675,3094,6000
2107-1500x26,6M,1500x26,2.885,3727,6000
2107-1800x26,6M,1800x26,3.055,4376,6000
2107-2100x26,6M,2100x26,3.205,4998,6000
