196.2812	0.0362
178.3269	0.0363
154.1055	0.0367
147.9644	0.0368
133.7307	0.0372
116.2919	0.0382
104.2319	0.0392
92.0686	0.0404
80.7333	0.042
69.2603	0.0445
58.7401	0.0472
52.8134	0.0505
47.7827	0.0529
44.1422	0.0552
40.9496	0.0587
37.0876	0.0632
33.485	0.0687
31.0955	0.0728
28.8465	0.0772
26.5101	0.0856
24.363	0.0941
22.3199	0.104
20.7056	0.1163
19.3689	0.1287
18.0808	0.1429
17.1981	0.1566
16.0543	0.1793
15.0023	0.2002
14.3744	0.2225
13.7729	0.245
12.9917	0.2741
12.2676	0.3191
11.6322	0.3708
11.157	0.4118
10.7348	0.4567
10.4368	0.5115
10.0733	0.5537
9.8757	0.5893
