10000	0.013321
10000	0.013321
8046.66	0.014486
6335.01	0.016032
4779.3	0.018513
4106.11	0.020575
3398.13	0.024106
2883.28	0.028566
2408.57	0.03456
2088.77	0.040785
1853.35	0.048032
1637.63	0.05787
1433.55	0.071699
1256.2	0.087826
1098.5	0.110631
998.289	0.132054
892.244	0.162934
801.62	0.196509
726.218	0.236757
658.592	0.288217
607.284	0.338728
551.88	0.41492
506.246	0.504581
461.978	0.64421
407.359	0.815693
363.33	0.990932
321.71	1.22012
282.791	1.507
260.489	1.77478
233.303	2.1583
212.239	2.57891
192.075	3.18857
175.461	3.9058
159.619	4.86425
148.723	5.72858
137.279	7.03169
127.641	8.58667
120.171	10.2706
113.137	12.3103
107.629	15.0171
101.014	19.0145
96.5972	23.3399
91.2277	30.2022
86.4258	39.0822
82.8186	49.8455
79.9417	62.5287
76.9244	77.9535
73.9441	97.1834
70.5637	125.626
68.3254	154.523
65.6782	194.042
63.5287	237.444
61.4496	306.304
