10000	0.013321
10000	0.01
2805.25	0.01
2805.25	0.01
2805.25	0.01
2509.78	0.012583
2133.85	0.017505
1825.58	0.023879
1613.04	0.030548
1443.14	0.038479
1263.24	0.0501
1127.83	0.062392
985.19	0.080983
879.59	0.102962
780.422	0.129289
691.716	0.164206
618.215	0.20598
553.099	0.258917
489.213	0.334335
442.261	0.418522
405.681	0.514772
381.136	0.609368
339.222	0.751837
301.918	0.923783
261.003	1.18916
227.045	1.52288
200.611	1.91228
175.603	2.4693
157.926	3.11034
141.881	3.98321
128.531	5.02766
118.762	6.04468
106.585	7.95216
96.8582	10.2791
89.6825	12.961
82.952	16.8231
78.2581	21.1686
74.4468	26.0907
71.1163	32.593
67.7232	41.5673
64.4249	54.3459
62.1216	67.8196
59.9007	83.2438
57.7592	106.054
55.8683	130.85
54.4908	159.615
52.8167	193.698
51.6218	225.061
50.4539	260.961
49.518	301.338
