9855.55	0.0133
9855.55	0.0102
594.7566	0.0102
594.7566	0.0102
594.7566	0.0102
546.1273	0.0121
494.2238	0.0148
448.6511	0.0179
403.0659	0.0221
362.1125	0.0276
324.6439	0.0341
299.9663	0.0401
271.4578	0.0486
244.1301	0.06
223.9362	0.0708
204.7726	0.0845
186.2775	0.1012
167.525	0.1249
151.4459	0.1522
136.7678	0.1868
124.4149	0.2256
113.5315	0.2704
104.4659	0.325
96.726	0.3827
88.0813	0.4723
81.3012	0.5649
75.1212	0.6784
69.5554	0.8165
64.0014	0.9878
59.2595	1.1913
55.0978	1.4368
51.335	1.7113
49.2428	1.901
45.547	2.1007
39.6619	2.5467
34.6813	3.0939
30.6751	3.6927
27.5011	4.3347
24.5786	5.0882
21.9211	6.0478
19.6734	7.1958
17.1849	8.9257
15.7798	10.3365
13.9716	12.5312
12.3448	15.5762
11.1252	18.6296
9.6575	24.0655
8.6402	29.82
7.698	37.5708
7.1203	44.102
6.6686	51.1793
6.2326	60.0136
5.8251	71.1832
5.4104	87.2909
5.1362	101.51
4.7755	130.4488
4.5287	161.9779
4.3668	194.7419
4.2238	235.3548
4.1412	272.5553
4.0983	298.6968
