9855.55	0.0133
9855.55	0.0133
8547.593	0.0133
7336.571	0.0133
6329.935	0.0133
5371.351	0.0133
4786.102	0.0133
4251.344	0.0134
3807.865	0.0134
3431.982	0.0134
3109.319	0.0135
2825.789	0.0136
2576.132	0.0138
2305.006	0.014
2009.518	0.0143
1764.701	0.0147
1561.026	0.0153
1386.61	0.0158
1240.676	0.0165
1070.445	0.0174
933.2204	0.0185
831.539	0.0198
751.7963	0.021
655.4204	0.0232
590.7224	0.0253
520.3755	0.0286
467.0623	0.0325
431.5897	0.0362
394.6878	0.0413
357.5806	0.0482
323.2894	0.0561
303.1146	0.0618
277.7744	0.0699
255.0822	0.0794
238.1717	0.0887
219.1699	0.1012
199.1844	0.1199
184.0566	0.1403
172.2123	0.1616
156.6714	0.1986
143.5738	0.2368
131.1615	0.2861
120.8227	0.3383
110.607	0.4131
101.9943	0.4956
95.4308	0.5775
87.4528	0.7074
80.1418	0.8674
75.5321	0.9981
70.1592	1.1925
65.5761	1.4158
62.0616	1.6225
58.919	1.8613
57.7069	1.9263
52.3903	2.1824
47.5635	2.5115
43.4515	2.8484
39.3664	3.2778
35.6282	3.8194
32.5143	4.3453
29.9825	4.8925
27.4189	5.5719
24.8669	6.4858
22.4822	7.5811
20.7101	8.7242
18.8216	10.1552
17.0875	11.8949
15.3688	14.1812
14.1573	16.5072
13.0143	19.1749
11.7175	23.0276
10.4734	28.6798
9.6178	33.663
8.9058	39.7594
8.2038	47.2048
7.7078	54.6056
7.2419	63.2982
6.9182	71.1941
6.5884	80.7442
6.2743	93.3062
6.0063	106.8178
5.7857	121.2726
5.5386	142.1959
5.3131	167.2502
5.1339	200.0209
4.9919	240.9608
4.9044	275.2808
4.8689	299.1709
