StudyPoleTag,PoleTag,PoleNumber,PoleHeight,PoleClass,MapX,MapY,PoleSpecies,GradeHeight,NeutralHeight,NormX,NormY,Span,NormAngle,PoleCt,PoleCb,PoleCg,Mrn,Mbn,Mr,Mb,Mbx,Mby,Mtx,Mty,Mgx,Mgy,Mtcx,Mtcy,Mcgx,Mcgy,Mcmax,Mcwsx,Mcwsy,Mccwsx,Mccwsy,Mex,Mey,Mgndx,Mgndy,Mcgndx,Mcgndy,MtMapX,MtMapY,MgMapX,MgMapY,MgndMapX,MgndMapY,McgndMapX,McgndMapY,MaxSpan
30-6,30-6,0,30,6,0,0,southernyellowpine,24.5,21.0,0.0,0.0,,,17.0,25.0,25.163265306122447,33650.76204425027,628.0033005874118,21872.995328762674,1570.0082514685296,1570.0082514685296,0.0,0.0,1.268718010427419e-10,,,,,,,270.8184722222222,2.4874273136769065e-12,0.0,,,,,1570.008251468532,1.268718010427419e-10,0.0,0.0,0.0,6.343590052137094e-14,,,0.785004125734266,6.343590052137094e-14,0.0,0.0,74.96898904530501
35-4,35-4,0,35,4,0,0,southernyellowpine,29.0,25.5,0.0,0.0,,,21.0,31.5,31.68103448275862,67157.10655930953,1095.7950460996237,43652.11926355119,2739.487615249059,2739.487615249059,0.0,0.0,1.510591876493017e-10,,,,,,,322.4484722222222,2.96164117047674e-12,0.0,,,,,2739.4876152490624,1.510591876493017e-10,0.0,0.0,0.0,7.552959382465085e-14,,,1.3697438076245312,7.552959382465085e-14,0.0,0.0,126.8811458970293
40-3,40-3,0,40,3,0,0,southernyellowpine,34.0,30.5,0.0,0.0,,,23.0,36.0,36.0,98537.47200000001,1676.2905961741048,64049.35680000001,4190.726490435262,4190.726490435262,0.0,0.0,1.7793406165659036e-10,,,,,,,379.8151388888889,3.488545455809889e-12,0.0,,,,,4190.726490435266,1.7793406165659036e-10,0.0,0.0,0.0,8.896703082829518e-14,,,2.095363245217633,8.896703082829518e-14,0.0,0.0,157.59937975267388
45-2,45-2,0,45,2,0,0,southernyellowpine,38.5,35.0,0.0,0.0,,,25.0,40.5,40.5,140300.424,2372.1801114461723,91195.27560000001,5930.450278615431,5930.450278615431,0.0,0.0,2.021214482631502e-10,,,,,,,431.4451388888889,3.962759312609723e-12,0.0,,,,,5930.450278615434,2.021214482631502e-10,0.0,0.0,0.0,1.010607241315751e-13,,,2.965225139307717,1.010607241315751e-13,0.0,0.0,197.62611195705887
50-1,50-1,0,50,1,0,0,southernyellowpine,43.0,39.5,0.0,0.0,,,27.0,45.0,45.0,192456.0,3237.0523875460594,125096.40000000001,8092.630968865149,8092.630968865149,0.0,0.0,2.2630883486970998e-10,,,,,,,483.0751388888889,4.436973169409556e-12,0.0,,,,,8092.630968865154,2.2630883486970998e-10,0.0,0.0,0.0,1.1315441743485499e-13,,,4.046315484432577,1.1315441743485499e-13,0.0,0.0,242.20614892385595
55-1,55-1,0,55,1,0,0,southernyellowpine,47.5,44.0,0.0,0.0,,,27.0,46.5,46.5,212350.24800000002,4009.8756339204924,138027.66120000003,10024.689084801232,10024.689084801232,0.0,0.0,2.504962214762698e-10,,,,,,,534.7051388888889,4.91118702620939e-12,0.0,,,,,10024.689084801237,2.504962214762698e-10,0.0,0.0,0.0,1.252481107381349e-13,,,5.012344542400618,1.252481107381349e-13,0.0,0.0,239.38982965674737
60-1,60-1,0,60,1,0,0,southernyellowpine,52.0,48.5,0.0,0.0,,,27.0,48.0,48.0,233570.304,4877.35628269883,151820.6976,12193.390706747075,12193.390706747075,0.0,0.0,2.746836080828296e-10,,,,,,,586.3351388888889,5.3854008830092245e-12,0.0,,,,,12193.390706747081,2.746836080828296e-10,0.0,0.0,0.0,1.3734180404141482e-13,,,6.096695353373541,1.3734180404141482e-13,0.0,0.0,238.13566275056934
